,City,Year
0,Montreal,1976.0
1,Montreal,1976.0
2,Montreal,1976.0
3,Montreal,1976.0
4,Montreal,1976.0
5,Montreal,1976.0
6,Montreal,1976.0
7,Montreal,1976.0
8,Montreal,1976.0
9,Montreal,1976.0
10,Montreal,1976.0
11,Montreal,1976.0
12,Montreal,1976.0
13,Montreal,1976.0
14,Montreal,1976.0
15,Montreal,1976.0
16,Montreal,1976.0
17,Montreal,1976.0
18,Montreal,1976.0
19,Montreal,1976.0
20,Montreal,1976.0
21,Montreal,1976.0
22,Montreal,1976.0
23,Montreal,1976.0
24,Montreal,1976.0
25,Montreal,1976.0
26,Montreal,1976.0
27,Montreal,1976.0
28,Montreal,1976.0
29,Montreal,1976.0
30,Montreal,1976.0
31,Montreal,1976.0
32,Montreal,1976.0
33,Montreal,1976.0
34,Montreal,1976.0
35,Montreal,1976.0
36,Montreal,1976.0
37,Montreal,1976.0
38,Montreal,1976.0
39,Montreal,1976.0
40,Montreal,1976.0
41,Montreal,1976.0
42,Montreal,1976.0
43,Montreal,1976.0
44,Montreal,1976.0
45,Montreal,1976.0
46,Montreal,1976.0
47,Montreal,1976.0
48,Montreal,1976.0
49,Montreal,1976.0
50,Montreal,1976.0
51,Montreal,1976.0
52,Montreal,1976.0
53,Montreal,1976.0
54,Montreal,1976.0
55,Montreal,1976.0
56,Montreal,1976.0
57,Montreal,1976.0
58,Montreal,1976.0
59,Montreal,1976.0
60,Montreal,1976.0
61,Montreal,1976.0
62,Montreal,1976.0
63,Montreal,1976.0
64,Montreal,1976.0
65,Montreal,1976.0
66,Montreal,1976.0
67,Montreal,1976.0
68,Montreal,1976.0
69,Montreal,1976.0
70,Montreal,1976.0
71,Montreal,1976.0
72,Montreal,1976.0
73,Montreal,1976.0
74,Montreal,1976.0
75,Montreal,1976.0
76,Montreal,1976.0
77,Montreal,1976.0
78,Montreal,1976.0
79,Montreal,1976.0
80,Montreal,1976.0
81,Montreal,1976.0
82,Montreal,1976.0
83,Montreal,1976.0
84,Montreal,1976.0
85,Montreal,1976.0
86,Montreal,1976.0
87,Montreal,1976.0
88,Montreal,1976.0
89,Montreal,1976.0
90,Montreal,1976.0
91,Montreal,1976.0
92,Montreal,1976.0
93,Montreal,1976.0
94,Montreal,1976.0
95,Montreal,1976.0
96,Montreal,1976.0
97,Montreal,1976.0
98,Montreal,1976.0
99,Montreal,1976.0
100,Montreal,1976.0
101,Montreal,1976.0
102,Montreal,1976.0
103,Montreal,1976.0
104,Montreal,1976.0
105,Montreal,1976.0
106,Montreal,1976.0
107,Montreal,1976.0
108,Montreal,1976.0
109,Montreal,1976.0
110,Montreal,1976.0
111,Montreal,1976.0
112,Montreal,1976.0
113,Montreal,1976.0
114,Montreal,1976.0
115,Montreal,1976.0
116,Montreal,1976.0
117,Montreal,1976.0
118,Montreal,1976.0
119,Montreal,1976.0
120,Montreal,1976.0
121,Montreal,1976.0
122,Montreal,1976.0
123,Montreal,1976.0
124,Montreal,1976.0
125,Montreal,1976.0
126,Montreal,1976.0
127,Montreal,1976.0
128,Montreal,1976.0
129,Montreal,1976.0
130,Montreal,1976.0
131,Montreal,1976.0
132,Montreal,1976.0
133,Montreal,1976.0
134,Montreal,1976.0
135,Montreal,1976.0
136,Montreal,1976.0
137,Montreal,1976.0
138,Montreal,1976.0
139,Montreal,1976.0
140,Montreal,1976.0
141,Montreal,1976.0
142,Montreal,1976.0
143,Montreal,1976.0
144,Montreal,1976.0
145,Montreal,1976.0
146,Montreal,1976.0
147,Montreal,1976.0
148,Montreal,1976.0
149,Montreal,1976.0
150,Montreal,1976.0
151,Montreal,1976.0
152,Montreal,1976.0
153,Montreal,1976.0
154,Montreal,1976.0
155,Montreal,1976.0
156,Montreal,1976.0
157,Montreal,1976.0
158,Montreal,1976.0
159,Montreal,1976.0
160,Montreal,1976.0
161,Montreal,1976.0
162,Montreal,1976.0
163,Montreal,1976.0
164,Montreal,1976.0
165,Montreal,1976.0
166,Montreal,1976.0
167,Montreal,1976.0
168,Montreal,1976.0
169,Montreal,1976.0
170,Montreal,1976.0
171,Montreal,1976.0
172,Montreal,1976.0
173,Montreal,1976.0
174,Montreal,1976.0
175,Montreal,1976.0
176,Montreal,1976.0
177,Montreal,1976.0
178,Montreal,1976.0
179,Montreal,1976.0
180,Montreal,1976.0
181,Montreal,1976.0
182,Montreal,1976.0
183,Montreal,1976.0
184,Montreal,1976.0
185,Montreal,1976.0
186,Montreal,1976.0
187,Montreal,1976.0
188,Montreal,1976.0
189,Montreal,1976.0
190,Montreal,1976.0
191,Montreal,1976.0
192,Montreal,1976.0
193,Montreal,1976.0
194,Montreal,1976.0
195,Montreal,1976.0
196,Montreal,1976.0
197,Montreal,1976.0
198,Montreal,1976.0
