,Year,Country,Gold,Silver,Bronze,Medal
221,2000.0,Italy,22,14.0,29.0,65.0
222,2000.0,Japan,5,30.0,8.0,43.0
223,2000.0,Kazakhstan,3,4.0,0.0,7.0
224,2000.0,Kenya,2,3.0,2.0,7.0
225,2000.0,"Korea, South",12,26.0,35.0,73.0
226,2000.0,Latvia,1,1.0,1.0,3.0
227,2000.0,Lithuania,2,0.0,15.0,17.0
228,2000.0,Mexico,1,2.0,3.0,6.0
229,2000.0,Mozambique,1,0.0,0.0,1.0
230,2000.0,Netherlands,27,29.0,23.0,79.0
231,2000.0,New Zealand,1,0.0,3.0,4.0
232,2000.0,Norway,21,4.0,19.0,44.0
233,2000.0,Poland,7,10.0,7.0,24.0
234,2000.0,Romania,27,6.0,13.0,46.0
235,2000.0,Russia,66,68.0,54.0,188.0
236,2000.0,Slovakia,2,3.0,1.0,6.0
237,2000.0,Slovenia,3,0.0,0.0,3.0
238,2000.0,Spain,3,20.0,20.0,43.0
239,2000.0,Sweden,4,20.0,8.0,32.0
240,2000.0,Switzerland,1,11.0,2.0,14.0
241,2000.0,Thailand,1,0.0,2.0,3.0
242,2000.0,Turkey,3,0.0,2.0,5.0
243,2000.0,Ukraine,3,20.0,12.0,35.0
244,2000.0,United Kingdom,22,20.0,13.0,55.0
245,2000.0,United States,130,66.0,52.0,248.0
246,2000.0,Uzbekistan,1,1.0,2.0,4.0
247,2000.0,Yugoslavia,12,1.0,13.0,26.0
248,2004.0,Argentina,26,0.0,21.0,47.0
249,2004.0,Australia,49,78.0,30.0,157.0
250,2004.0,Austria,3,4.0,1.0,8.0
251,2004.0,Azerbaijan,1,0.0,4.0,5.0
252,2004.0,Bahamas,1,0.0,1.0,2.0
253,2004.0,Belarus,2,6.0,9.0,17.0
254,2004.0,Belgium,1,0.0,2.0,3.0
255,2004.0,Brazil,18,19.0,3.0,40.0
256,2004.0,Bulgaria,2,1.0,14.0,17.0
257,2004.0,Cameroon,1,0.0,0.0,1.0
258,2004.0,Canada,3,10.0,4.0,17.0
259,2004.0,Chile,3,0.0,1.0,4.0
260,2004.0,China,52,27.0,15.0,94.0
261,2004.0,Croatia,14,3.0,3.0,20.0
262,2004.0,Cuba,31,8.0,22.0,61.0
263,2004.0,Czech Republic,1,6.0,5.0,12.0
264,2004.0,Denmark,19,0.0,10.0,29.0
265,2004.0,Dominican Republic,1,0.0,0.0,1.0
266,2004.0,Egypt,1,1.0,3.0,5.0
267,2004.0,Ethiopia,2,3.0,2.0,7.0
268,2004.0,France,21,10.0,22.0,53.0
269,2004.0,Georgia,2,2.0,0.0,4.0
270,2004.0,Germany,41,45.0,63.0,149.0
271,2004.0,Greece,8,18.0,5.0,31.0
272,2004.0,Hungary,24,12.0,4.0,40.0
273,2004.0,Indonesia,1,1.0,3.0,5.0
274,2004.0,Iran,2,2.0,2.0,6.0
275,2004.0,Israel,1,0.0,1.0,2.0
276,2004.0,Italy,24,39.0,39.0,102.0
277,2004.0,Jamaica,6,1.0,6.0,13.0
278,2004.0,Japan,21,20.0,53.0,94.0
279,2004.0,Kazakhstan,1,4.0,3.0,8.0
280,2004.0,Kenya,1,4.0,2.0,7.0
281,2004.0,"Korea, South",14,28.0,10.0,52.0
282,2004.0,Lithuania,1,2.0,0.0,3.0
283,2004.0,Morocco,2,1.0,0.0,3.0
284,2004.0,Netherlands,4,50.0,22.0,76.0
285,2004.0,New Zealand,4,2.0,0.0,6.0
286,2004.0,Norway,5,0.0,2.0,7.0
287,2004.0,Poland,4,2.0,6.0,12.0
288,2004.0,Romania,23,5.0,11.0,39.0
289,2004.0,Russia,47,49.0,96.0,192.0
290,2004.0,Slovakia,3,2.0,5.0,10.0
291,2004.0,South Africa,4,3.0,3.0,10.0
292,2004.0,Spain,4,15.0,8.0,27.0
293,2004.0,Sweden,5,5.0,2.0,12.0
294,2004.0,Switzerland,1,2.0,4.0,7.0
295,2004.0,Taiwan,2,4.0,3.0,9.0
296,2004.0,Thailand,3,1.0,4.0,8.0
297,2004.0,Turkey,3,3.0,4.0,10.0
298,2004.0,Ukraine,9,8.0,31.0,48.0
299,2004.0,United Arab Emirates,1,0.0,0.0,1.0
300,2004.0,United Kingdom,17,25.0,15.0,57.0
301,2004.0,United States,116,75.0,73.0,264.0
302,2004.0,Uzbekistan,2,1.0,2.0,5.0
303,2004.0,Zimbabwe,1,1.0,1.0,3.0
304,2008.0,Argentina,20,0.0,31.0,51.0
305,2008.0,Australia,31,42.0,76.0,149.0
306,2008.0,Azerbaijan,1,2.0,4.0,7.0
307,2008.0,Belarus,8,5.0,17.0,30.0
308,2008.0,Belgium,1,4.0,0.0,5.0
309,2008.0,Brazil,14,34.0,27.0,75.0
310,2008.0,Bulgaria,1,1.0,3.0,5.0
311,2008.0,Cameroon,1,0.0,0.0,1.0
312,2008.0,Canada,11,13.0,10.0,34.0
313,2008.0,China,74,53.0,57.0,184.0
314,2008.0,Cuba,2,34.0,11.0,47.0
315,2008.0,Czech Republic,3,4.0,0.0,7.0
316,2008.0,Denmark,6,6.0,6.0,18.0
317,2008.0,Dominican Republic,1,1.0,0.0,2.0
318,2008.0,Estonia,1,2.0,0.0,3.0
319,2008.0,Ethiopia,4,1.0,2.0,7.0
320,2008.0,Finland,1,2.0,2.0,5.0
321,2008.0,France,25,23.0,28.0,76.0
322,2008.0,Georgia,3,0.0,3.0,6.0
323,2008.0,Germany,42,16.0,43.0,101.0
324,2008.0,Hungary,16,8.0,3.0,27.0
325,2008.0,India,1,0.0,2.0,3.0
326,2008.0,Indonesia,2,2.0,3.0,7.0
327,2008.0,Iran,1,0.0,1.0,2.0
328,2008.0,Italy,8,14.0,20.0,42.0
329,2008.0,Jamaica,9,3.0,5.0,17.0
330,2008.0,Japan,23,11.0,17.0,51.0
331,2008.0,Kazakhstan,2,4.0,7.0,13.0
