No.,Athlete,Nation,Sport,Years,Games,Gender,Gold,Silver,Bronze,Total
1,Michael Phelps,United States,Swimming,2004–2016,Summer,M,23.0,3.0,2.0,28.0
2,Larisa Latynina,Soviet Union,Gymnastics,1956–1964,Summer,F,9.0,5.0,4.0,18.0
3,Paavo Nurmi,Finland,Athletics,1920–1928,Summer,M,9.0,3.0,0.0,12.0
4,Mark Spitz,United States,Swimming,1968–1972,Summer,M,9.0,1.0,1.0,11.0
5,Carl Lewis,United States,Athletics,1984–1996,Summer,M,9.0,1.0,0.0,10.0
6,Marit Bjørgen,Norway,Cross-country skiing,2002–2018,Winter,F,8.0,4.0,3.0,15.0
7,Ole Einar Bjørndalen,Norway,Biathlon,1998–2014,Winter,M,8.0,4.0,1.0,13.0
8,Bjørn Dæhlie,Norway,Cross-country skiing,1992–1998,Winter,M,8.0,4.0,0.0,12.0
8,Birgit Fischer,East Germany Germany,Canoeing,1980–2004,Summer,F,8.0,4.0,0.0,12.0
10,Sawao Kato,Japan,Gymnastics,1968–1976,Summer,M,8.0,3.0,1.0,12.0
10,Jenny Thompson,United States,Swimming,1992–2004,Summer,F,8.0,3.0,1.0,12.0
12,Matt Biondi,United States,Swimming,1984–1992,Summer,M,8.0,2.0,1.0,11.0
13,Usain Bolt,Jamaica,Athletics,2008–2016,Summer,M,8.0,0.0,0.0,8.0
13,Ray Ewry,United States,Athletics,1900–1908,Summer,M,8.0,0.0,0.0,8.0
15,Nikolai Andrianov,Soviet Union,Gymnastics,1972–1980,Summer,M,7.0,5.0,3.0,15.0
16,Isabell Werth,Germany,Equestrian,1992–2020,Summer,F,7.0,5.0,0.0,12.0
17,Boris Shakhlin,Soviet Union,Gymnastics,1956–1964,Summer,M,7.0,4.0,2.0,13.0
18,Věra Čáslavská,Czechoslovakia,Gymnastics,1960–1968,Summer,F,7.0,4.0,0.0,11.0
19,Viktor Chukarin,Soviet Union,Gymnastics,1952–1956,Summer,M,7.0,3.0,1.0,11.0
19,Allyson Felix,United States,Athletics,2004–2020,Summer,F,7.0,3.0,1.0,11.0
21,Katie Ledecky,United States,Swimming,2012–2020,Summer,F,7.0,3.0,0.0,10.0
22,Jason Kenny,Great Britain,Cycling,2008–2020,Summer,M,7.0,2.0,0.0,9.0
23,Aladár Gerevich,Hungary,Fencing,1932–1960,Summer,M,7.0,1.0,2.0,10.0
24,Caeleb Dressel,United States,Swimming,2016–2020,Summer,M,7.0,0.0,0.0,7.0
24,Svetlana Romashina,Russia ROC,Synchronized swimming,2008–2020,Summer,F,7.0,0.0,0.0,7.0
26,Edoardo Mangiarotti,Italy,Fencing,1936–1960,Summer,M,6.0,5.0,2.0,13.0
27,Ryan Lochte,United States,Swimming,2004–2016,Summer,M,6.0,3.0,3.0,12.0
28,Hubert Van Innis,Belgium,Archery,1900–1920,Summer,M,6.0,3.0,0.0,9.0
28,Lyubov Yegorova,Unified Team Russia,Cross-country skiing,1992–1994,Winter,F,6.0,3.0,0.0,9.0
30,Akinori Nakayama,Japan,Gymnastics,1968–1972,Summer,M,6.0,2.0,2.0,10.0
31,Valentina Vezzali,Italy,Fencing,1996–2012,Summer,F,6.0,1.0,2.0,9.0
32,Gert Fredriksson,Sweden,Canoeing,1948–1960,Summer,M,6.0,1.0,1.0,8.0
32,Danuta Kozák,Hungary,Canoeing,2008–2020,Summer,F,6.0,1.0,1.0,8.0
34,Chris Hoy,Great Britain,Cycling,2000–2012,Summer,M,6.0,1.0,0.0,7.0
35,Vitaly Scherbo,Unified Team Belarus,Gymnastics,1992–1996,Summer,M,6.0,0.0,4.0,10.0
36,Viktor Ahn,Russia,Short track speed skating,2006–2014,Winter,M,6.0,0.0,2.0,8.0
36,Reiner Klimke,United Team of Germany West Germany,Equestrian,1964–1988,Summer,M,6.0,0.0,2.0,8.0
38,Pál Kovács,Hungary,Fencing,1936–1960,Summer,M,6.0,0.0,1.0,7.0
39,Rudolf Kárpáti,Hungary,Fencing,1948–1960,Summer,M,6.0,0.0,0.0,6.0
39,Nedo Nadi,Italy,Fencing,1912–1920,Summer,M,6.0,0.0,0.0,6.0
39,Kristin Otto,East Germany,Swimming,1988,Summer,F,6.0,0.0,0.0,6.0
39,Lidia Skoblikova,Soviet Union,Speed skating,1960–1964,Winter,F,6.0,0.0,0.0,6.0
39,Amy Van Dyken,United States,Swimming,1996–2000,Summer,F,6.0,0.0,0.0,6.0
